iter	Logloss
0	0.691187372
1	0.6894123928
2	0.6876572999
3	0.6857163369
4	0.6839176545
5	0.6821382942
6	0.6801648086
7	0.6783766928
8	0.6766412826
9	0.674785157
10	0.6729824246
11	0.6714329809
12	0.6698562099
13	0.6681629065
14	0.666622556
15	0.6650984014
16	0.6635367541
17	0.6619164317
18	0.6603172394
19	0.6588227999
20	0.6573325301
21	0.655794257
22	0.6543864848
23	0.6529824247
24	0.6516328676
25	0.6503867866
26	0.649158239
27	0.6480190608
28	0.6468255732
29	0.6457232306
30	0.6445872068
31	0.6433299761
32	0.6421957695
33	0.6410422061
34	0.6399338349
35	0.6388064539
36	0.6377737979
37	0.6367096725
38	0.6357540149
39	0.6346740513
40	0.6334628951
41	0.6324346822
42	0.6313712074
43	0.6303403758
44	0.6293935639
45	0.6283981633
46	0.6274320984
47	0.6264608651
48	0.625450774
49	0.6244447432
50	0.6234766962
51	0.6224444146
52	0.6216169321
53	0.6205715623
54	0.61959693
55	0.6186573564
56	0.6176576301
57	0.6168526535
58	0.615986941
59	0.615060471
60	0.6141550497
61	0.6132874177
62	0.612496928
63	0.6118299149
64	0.6111609523
65	0.6103289197
66	0.6096044558
67	0.6088080973
68	0.6080716433
69	0.6072750905
70	0.6067603236
71	0.606166541
72	0.605448249
73	0.6046898537
74	0.6041633588
75	0.6035184486
76	0.6028368749
77	0.602112218
78	0.601306238
79	0.6006395385
80	0.5999344286
81	0.5992908516
82	0.5985882038
83	0.5979614589
84	0.5973485266
85	0.5967213103
86	0.5961716173
87	0.5955242595
88	0.5948643135
89	0.5942604538
90	0.5936185797
91	0.5929521272
92	0.592328285
93	0.5917467589
94	0.5912047872
95	0.5906551962
96	0.590061571
97	0.5894478637
98	0.5888700897
99	0.5883269814
100	0.5877209957
101	0.5871051226
102	0.5866789941
103	0.5862324748
104	0.5857938131
105	0.5852257053
106	0.5846728221
107	0.5842195022
108	0.5837744616
109	0.583320125
110	0.5827880947
111	0.582373882
112	0.5819626739
113	0.5815274307
114	0.5810060207
115	0.5805090739
116	0.5801372769
117	0.5796824821
118	0.5792113003
119	0.5787186496
120	0.5782063511
121	0.5777009494
122	0.577347165
123	0.5768702318
124	0.5764880248
125	0.5760488137
126	0.5757039706
127	0.5753471816
128	0.5748864309
129	0.5743483703
130	0.5739228675
131	0.5735309227
132	0.5731301253
133	0.5726707246
134	0.5723994985
135	0.5720501818
136	0.5717216482
137	0.5714197778
138	0.5710709866
139	0.5706560468
140	0.5702054654
141	0.5698986723
142	0.5694496595
143	0.5690644246
144	0.5686089183
145	0.568258979
146	0.5679591661
147	0.5675827251
148	0.5672132691
149	0.5669233788
150	0.5665561621
151	0.5661943609
152	0.5658502363
153	0.5654980484
154	0.5650599824
155	0.5646636779
156	0.5644004043
157	0.5640619278
158	0.563665509
159	0.5633039255
160	0.5629225451
161	0.5626244256
162	0.5622409855
163	0.5619018375
164	0.5614269599
165	0.5611708124
166	0.5607569855
167	0.5604497876
168	0.5601078767
169	0.5598152133
170	0.5594744746
171	0.5591988217
172	0.5588663167
173	0.5585525902
174	0.5582234355
175	0.5578160727
176	0.5575461146
177	0.5572445466
178	0.556921042
179	0.5565977402
180	0.5563832248
181	0.5560821282
182	0.5558202469
183	0.5555248183
184	0.555178648
185	0.5548574506
186	0.5545933121
187	0.554242545
188	0.5539814309
189	0.5536760868
190	0.5534267409
191	0.5531072169
192	0.5527524445
193	0.5525133331
194	0.5522016315
195	0.5518505605
196	0.5515182366
197	0.5512623333
198	0.5509662331
199	0.5506672494
200	0.5504312029
201	0.5501431725
202	0.5498819251
203	0.5496702973
204	0.5494831454
205	0.5492350699
206	0.5489763086
207	0.5488185262
208	0.5485442038
209	0.5482872416
210	0.5480808778
211	0.547862294
212	0.547530154
213	0.5473075319
214	0.5470226937
215	0.546809822
216	0.5465736729
217	0.5463181683
218	0.5461031157
219	0.5457574548
220	0.5454378803
221	0.5452512334
222	0.5449611565
223	0.5447503206
224	0.544439956
225	0.5441928802
226	0.5439724151
227	0.5436665814
228	0.5434750463
229	0.5432581091
230	0.5430534891
231	0.5427717851
232	0.5425517503
233	0.5422599194
234	0.5420747568
235	0.5418444058
236	0.5415188321
237	0.5412421772
238	0.5410319345
239	0.5408086031
240	0.5405762665
241	0.5402624144
242	0.5400531779
243	0.5397865954
244	0.5396123986
245	0.5393172834
246	0.5390564075
247	0.5388477841
248	0.5386461705
249	0.5384348169
250	0.5381565905
251	0.5378923898
252	0.5376101405
253	0.537424223
254	0.5372552861
255	0.5371159033
256	0.5369076532
257	0.5366849404
258	0.5364372908
259	0.5361724235
260	0.5360143105
261	0.5358004414
262	0.5356448437
263	0.5354448012
264	0.5351353653
265	0.5349282649
266	0.5347712457
267	0.5345317094
268	0.5343124637
269	0.5341822182
270	0.534028099
271	0.5337907659
272	0.533608323
273	0.5334430943
274	0.5332277363
275	0.5329427889
276	0.532636102
277	0.5323645896
278	0.5321913956
279	0.5319554241
280	0.5317795462
281	0.5315812726
282	0.5313745304
283	0.5311691382
284	0.530891678
285	0.5307063183
286	0.5304935481
287	0.5302524232
288	0.5300828919
289	0.5298027407
290	0.5295673369
291	0.5292937096
292	0.5290279046
293	0.5288969152
294	0.5287412655
295	0.5284711613
296	0.5282982277
297	0.5280095233
298	0.5278123388
299	0.5275391033
300	0.5272721317
301	0.527076631
302	0.5268696874
303	0.5266603481
304	0.5264988923
305	0.5263561786
306	0.5261972203
307	0.5259957859
308	0.5258337378
309	0.5256041197
310	0.5254678125
311	0.5252436972
312	0.5250259045
313	0.5248639986
314	0.5245422805
315	0.5244007289
316	0.5242078175
317	0.52403697
318	0.5238368168
319	0.5236723624
320	0.5234353033
321	0.5232725731
322	0.5231091333
323	0.5229608484
324	0.5226992008
325	0.5224394625
326	0.5222260891
327	0.5220414689
328	0.5218864328
329	0.5217367868
330	0.521559734
331	0.5213524874
332	0.5210706235
333	0.5208501495
334	0.5206531028
335	0.5205169381
336	0.5203152577
337	0.5201082279
338	0.5199022296
339	0.5197186115
340	0.5195472233
341	0.5193586079
342	0.5191551016
343	0.5190146642
344	0.5188924762
345	0.5186318619
346	0.5184592777
347	0.5182521071
348	0.5180942451
349	0.5178722432
350	0.5176830911
351	0.5174758785
352	0.517303444
353	0.5171078784
354	0.5170042226
355	0.5168126198
356	0.5166471926
357	0.5164262679
358	0.5162838317
359	0.5160868348
360	0.515941344
361	0.5157553065
362	0.5155324661
363	0.5153349887
364	0.5152165452
365	0.5150959891
366	0.5148945827
367	0.5147395019
368	0.5145036125
369	0.5143985026
370	0.5142379714
371	0.5141074386
372	0.5138771018
373	0.5136976148
374	0.5135973721
375	0.5134492758
376	0.5131563036
377	0.5130564007
378	0.5128960945
379	0.5127052289
380	0.5125974551
381	0.5123991003
382	0.5122424913
383	0.5120576115
384	0.5118237239
385	0.5116351644
386	0.511398893
387	0.51125032
388	0.5110721583
389	0.5109773142
390	0.5107937908
391	0.5106709409
392	0.5105379808
393	0.5104023055
394	0.5102779577
395	0.51010482
396	0.5099084554
397	0.5097034627
398	0.5095501905
399	0.5094353587
400	0.5092021192
401	0.5090854043
402	0.5089265634
403	0.5087855793
404	0.5086339136
405	0.5084909067
406	0.508352391
