iter	Passed	Remaining
0	7	72840
1	13	69086
2	18	62402
3	22	55350
4	24	49964
5	28	46747
6	30	44022
7	33	41846
8	36	40873
9	39	39666
10	42	38698
11	46	38422
12	48	37568
13	51	37030
14	54	36381
15	57	35821
16	60	35435
17	63	35146
18	66	34856
19	69	34734
20	72	34409
21	75	34142
22	78	33969
23	81	33688
24	83	33430
25	86	33147
26	89	32907
27	92	32810
28	94	32640
29	97	32444
30	100	32327
31	103	32383
32	106	32224
33	109	32118
34	112	32041
35	115	31878
36	118	31804
37	120	31670
38	123	31541
39	126	31449
40	129	31379
41	131	31281
42	134	31183
43	137	31071
44	140	30977
45	142	30913
46	145	30817
47	148	30715
48	150	30629
49	153	30541
50	156	30478
51	159	30455
52	161	30371
53	164	30320
54	167	30311
55	170	30251
56	173	30193
57	175	30152
58	178	30109
59	181	30064
60	184	30008
61	186	29948
62	189	29900
63	192	29888
64	195	29862
65	198	29826
66	201	29862
67	204	29836
68	206	29792
69	209	29779
70	212	29746
71	215	29723
72	218	29746
73	221	29731
74	224	29729
75	227	29769
76	230	29746
77	233	29723
78	236	29689
79	239	29648
80	242	29649
81	245	29640
82	247	29608
83	251	29639
84	254	29639
85	256	29611
86	259	29620
87	262	29615
88	265	29601
89	268	29583
90	271	29560
91	274	29576
92	277	29611
93	280	29581
94	283	29602
95	287	29620
96	290	29616
97	293	29669
98	296	29647
99	299	29652
100	303	29728
101	306	29702
102	309	29732
103	312	29702
104	314	29673
105	318	29739
106	321	29761
107	324	29757
108	327	29761
109	330	29737
110	334	29793
111	337	29766
112	340	29788
113	343	29801
114	346	29773
115	349	29789
116	352	29778
117	355	29768
118	358	29803
119	361	29782
120	364	29768
121	368	29798
122	370	29767
123	373	29787
124	377	29795
125	380	29784
126	383	29809
127	386	29785
128	389	29782
129	392	29799
130	395	29775
131	398	29779
132	401	29792
133	404	29769
134	407	29760
135	410	29739
136	412	29715
137	415	29727
138	418	29704
139	421	29683
140	424	29716
141	427	29692
142	430	29685
143	433	29661
144	435	29632
145	438	29610
146	441	29590
147	444	29562
148	446	29547
149	449	29544
150	452	29528
151	455	29518
152	458	29515
153	461	29498
154	464	29482
155	466	29459
156	469	29435
157	472	29416
158	474	29394
159	477	29370
160	480	29354
161	483	29337
162	485	29317
163	488	29306
164	491	29287
165	494	29273
166	497	29270
167	500	29302
168	503	29289
169	506	29287
170	509	29283
171	512	29265
172	515	29286
173	518	29278
174	521	29275
175	524	29272
176	527	29252
